Home Team,Away Team,Home xG,Away xG,Home Poss%,Away Poss%
Tottenham,Bournemouth,2.93,1.03,53,47
Southampton,Watford,1.97,0.5,63,37
Wolves,Sheffield United,1.27,1.47,60,40
Norwich,Arsenal,0.81,1.2,40,60
Leicester City,Everton,2.24,1.25,69,31
Manchester United,Aston Villa,1.85,1.3,62,38
Crystal Palace,Bournemouth,0.38,0.34,31,69
Burnley,Manchester City,0.49,2.56,24,76
Leicester City,Watford,1.53,0.2,63,37
Wolves,West Ham,1.82,0.5,49,51
Manchester United,Tottenham,0.72,0.54,47,53
Chelsea,Aston Villa,1.98,0.86,65,35
Southampton,Norwich,2,0.9,40,60
Liverpool,Everton,2.41,1.76,59,41
Sheffield United,Newcastle United,1.09,0.53,73,27
Arsenal,Brighton,0.97,1.53,49,51
Everton,Chelsea,2.04,1.26,30,70
Bournemouth,Liverpool,0.15,3.04,26,74
Tottenham,Burnley,2.4,1.09,49,51
Watford,Crystal Palace,1.57,0.21,50,50
Manchester City,Manchester United,2.07,0.87,72,28
Aston Villa,Leicester City,1.24,4.03,40,60
Newcastle United,Southampton,1.1,1.89,45,55
Norwich,Sheffield United,0.59,0.71,58,42
Brighton,Wolves,0.95,1.87,62,38
West Ham,Arsenal,0.52,1.79,36,64
Liverpool,Watford,1.57,1.01,68,32
Burnley,Newcastle United,1.44,1.09,48,52
Chelsea,Bournemouth,2.02,1.21,67,33
Leicester City,Norwich,1.06,1.16,57,43
Sheffield United,Aston Villa,1.89,0.21,57,43
Southampton,West Ham,0.81,0.9,57,43
Manchester United,Everton,1.48,0.28,67,33
Wolves,Tottenham,0.72,0.99,58,42
Arsenal,Manchester City,0.28,1.7,42,58
Crystal Palace,Brighton,0.48,2.48,35,65
Everton,Arsenal,0.49,0.88,43,57
Aston Villa,Southampton,0.92,2.63,57,43
Bournemouth,Burnley,0.14,0.14,65,35
Brighton,Sheffield United,0.41,1.66,69,31
Newcastle United,Crystal Palace,0.71,0.99,42,58
Norwich,Wolves,1.27,1.65,50,50
Manchester City,Leicester City,2.83,1.01,63,37
Watford,Manchester United,0.83,1.53,36,64
Tottenham,Chelsea,0.28,0.73,44,56
Tottenham,Brighton,1.03,1.09,54,46
Aston Villa,Norwich,0.65,1.45,42,58
Bournemouth,Arsenal,1.55,1.42,39,61
Chelsea,Southampton,0.86,0.98,66,34
Crystal Palace,West Ham,2.14,0.8,58,42
Everton,Burnley,1.48,0.57,68,32
Sheffield United,Watford,1.28,0.6,58,42
Manchester United,Newcastle United,2,1.05,73,27
Leicester City,Liverpool,0.12,3.01,41,59
Wolves,Manchester City,2.39,0.76,62,38
Brighton,Bournemouth,1.06,0.5,55,45
Newcastle United,Everton,1.63,2.83,43,57
Southampton,Crystal Palace,1.48,0.14,60,40
Watford,Aston Villa,2.49,0.61,49,51
Norwich,Tottenham,0.27,1.06,41,59
West Ham,Leicester City,0.78,1.88,43,57
Burnley,Manchester United,0.39,2.11,39,61
Arsenal,Chelsea,0.79,1.5,42,58
Liverpool,Wolves,1.49,0.36,63,37
Manchester City,Sheffield United,1.09,1.23,73,27
Brighton,Chelsea,1.57,1.57,48,52
Burnley,Aston Villa,2.34,1.75,62,38
Newcastle United,Leicester City,0.78,2.44,23,77
Southampton,Tottenham,1.51,1.08,41,59
Watford,Wolves,1.07,1.23,36,64
West Ham,Bournemouth,1.57,0.72,43,57
Manchester City,Everton,1.8,0.85,65,35
Norwich,Crystal Palace,1.66,1.3,41,59
Arsenal,Manchester United,1.91,0.72,49,51
Liverpool,Sheffield United,3.05,0.63,75,25
Sheffield United,West Ham,2.03,0.9,47,53
Crystal Palace,Arsenal,0.32,1.44,43,57
Wolves,Newcastle United,2.05,0.18,66,34
Chelsea,Burnley,2.12,0.72,66,34
Everton,Brighton,2.03,1.53,54,46
Leicester City,Southampton,0.78,2.41,58,42
Manchester United,Norwich,2.37,0.28,60,40
Tottenham,Liverpool,1.11,1.75,33,68
Bournemouth,Watford,0.32,2.3,57,43
Aston Villa,Manchester City,0.37,3.75,29,71
Watford,Tottenham,1.63,1.77,41,59
Arsenal,Sheffield United,1.23,1.18,61,39
Manchester City,Crystal Palace,2.47,0.59,73,27
Brighton,Aston Villa,1.3,1.02,55,45
Norwich,Bournemouth,1,0.56,66,34
Southampton,Wolves,0.79,1.42,53,47
West Ham,Everton,1.68,1.95,49,51
Newcastle United,Chelsea,0.89,2.05,30,70
Burnley,Leicester City,1.51,1.57,44,56
Liverpool,Manchester United,2.01,1.42,53,47
Aston Villa,Watford,1.07,1.81,65,35
Sheffield United,Manchester City,0.77,2.11,33,67
Everton,Newcastle United,2.05,0.57,55,45
Bournemouth,Brighton,1.92,1.97,35,65
Crystal Palace,Southampton,0.67,1.13,44,56
Chelsea,Arsenal,2.63,0.57,59,41
Leicester City,West Ham,2.15,0.4,67,33
Tottenham,Norwich,2.22,0.66,50,50
Manchester United,Burnley,1.42,0.72,72,28
Wolves,Liverpool,1.85,1.59,46,54
West Ham,Liverpool,0.88,1.89,29,71
Leicester City,Chelsea,1.66,0.81,50,50
Bournemouth,Aston Villa,2.72,1.41,40,60
Crystal Palace,Sheffield United,0.97,0.86,61,39
Liverpool,Southampton,3.72,0.72,62,38
Newcastle United,Norwich,0.94,2.4,43,57
Watford,Everton,0.92,2.7,45,55
West Ham,Brighton,1.31,2.03,35,65
Manchester United,Wolves,1.19,1.54,64,36
Burnley,Arsenal,2.25,1.48,43,57
Tottenham,Manchester City,0.42,3.25,33,67
Everton,Crystal Palace,2.79,0.87,47,53
Brighton,Watford,0.76,0.28,67,33
Sheffield United,Bournemouth,2.04,1.07,54,46
Wolves,Leicester City,1.14,0.53,41,59
Southampton,Burnley,0.69,0.89,64,36
Norwich,Liverpool,0.38,2.07,37,63
Aston Villa,Tottenham,1.71,3.1,54,46
Arsenal,Newcastle United,3.02,1.17,68,32
